experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_barabasi_albert_graph__50_40___random,1,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,0,0.5076246377022677,0.7588236977053773,0.317643720492779,0.6358425123113383,161.60358214613797,508.3454631151304,566.7627441277275,18,0.5737424365801456,0.6023558897243106,18,0.5815665861245903,0.6105764411027572,18,0.026853739886452965,0.017700501253132828
init_layout_barabasi_albert_graph__50_40___random,2,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,35.89999997615814,0.5126640353049127,0.760908807737346,0.33440785850726584,0.6438262811825485,136.80443121363382,2.6611073506795786,5.400600660843381,18,0.5835850050653142,0.6116290726817035,18,0.5953177142334025,0.6222556390977445,18,0.03230679032999961,0.02521929824561403
init_layout_barabasi_albert_graph__50_40___random,3,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,16.600000023841858,0.5168004194643091,0.7621162316093099,0.3447398000303685,0.6471746371343252,84.9839206853417,1.4702411570357714,3.2322417379872173,18,0.5932540106489858,0.6202005012531325,18,0.606073543396256,0.6333834586466172,18,0.03767478936296463,0.03488632295023275
init_layout_barabasi_albert_graph__50_40___random,4,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,14.800000071525574,0.5186647052826286,0.7618769646224082,0.34969664741153406,0.6463990446960279,64.68193957349087,0.8979997554977426,1.8942681157122112,18,0.597514389191682,0.6246616541353383,18,0.6094346647315428,0.6357393483709275,18,0.03846280177812791,0.03810866451843897
init_layout_barabasi_albert_graph__50_40___random,5,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,15.299999952316284,0.5193929419304097,0.7614641267958195,0.35002057611134274,0.6441370206134873,61.95773618659733,0.7906836973352724,2.328830587312763,18,0.5988795205703027,0.6244110275689221,18,0.6105759426480843,0.6347869674185467,18,0.037671908682813046,0.041331006086645194
init_layout_barabasi_albert_graph__50_40___random,6,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,15,0.519538589259966,0.7607988572051663,0.34420234794324867,0.6407259075281289,58.84389441260858,0.7528779924020241,2.6691456884143894,18,0.6002311699743949,0.6255639097744359,18,0.6103122430953541,0.6339849624060157,18,0.03844907075199192,0.042405119942713954
init_layout_barabasi_albert_graph__50_40___random,7,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,16.200000047683716,0.5199755312486345,0.7602950902065801,0.3376168391421501,0.6380490493274129,56.094770928851105,0.7589949263769646,2.8865755903566517,18,0.6008841889786423,0.6263659147869671,18,0.6080539366540245,0.6375438596491227,18,0.03888527392679053,0.046701575366988934
init_layout_barabasi_albert_graph__50_40___random,8,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,16,0.5204416027032144,0.7598922208611367,0.3279913621229865,0.6348648919310295,52.82692985558384,0.7421080568611381,3.085992151974379,18,0.6013320538668575,0.6265664160400999,18,0.6094350651352934,0.6327819548872184,18,0.040387076501522276,0.041331006086645194
init_layout_barabasi_albert_graph__50_40___random,9,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,15.099999904632568,0.5204124732373032,0.7591576324258401,0.3169678485404194,0.6313376926563072,49.111486736427956,0.7204347589864148,2.8148709882028506,18,0.602451183041613,0.6275187969924808,18,0.6097498778117801,0.6303258145363411,18,0.041766214200187786,0.042405119942713954
init_layout_barabasi_albert_graph__50_40___random,10,data/barabasi_albert_graph__50_40__.json,641.5,3.600000023841858,0.6999999284744263,0,0.10000002384185791,18.699999928474426,15.100000023841858,0.5217815581351316,0.7586433527419252,0.30917292524890416,0.6280829652688851,46.14570831684798,0.6950014650582936,2.1667927958635187,18,0.6030150332674115,0.6283709273182955,18,0.6119831925780388,0.6303258145363413,18,0.042424816246845055,0.04347923379878266
