experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_random_geometric_graph__400_0_1___layered_layout,1,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,0,0.9844472646569495,0.664401026915639,0.047960276399263924,0.44395218183794616,6920.752871873852,533.5132879977639,894.8995041082228,18,0.9487905785821886,0.9254724074336785,18,0.9590578775958163,0.9396038445169528,18,0.5008560801128701,0.5471696299728427
init_layout_random_geometric_graph__400_0_1___layered_layout,2,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,172.60000002384186,0.9853896155145362,0.6863793874951035,0.055562009338476104,0.46903785948118903,9204.686093703318,23.011430312382934,143.3972224682875,18,0.9582978850852594,0.9365381614413392,18,0.9575594127054318,0.9441278904809192,18,0.505718904014406,0.5717046517377813
init_layout_random_geometric_graph__400_0_1___layered_layout,3,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,86.60000002384186,0.985899463633465,0.6955955355399894,0.060649048666684524,0.4834231491469806,9521.646551151467,23.802639850019872,110.1643496138765,18,0.9648082230908086,0.9449875868917578,18,0.950382789538028,0.9384526173925379,18,0.5132515013351993,0.5823892579902545
init_layout_random_geometric_graph__400_0_1___layered_layout,4,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,75.5,0.9861535984543551,0.6993185116764309,0.06839761743563866,0.49703286057676477,9138.872286461048,22.836971996412228,74.67208265857096,18,0.9691927571667274,0.9512427294651724,18,0.9427332778130365,0.9334781529294935,18,0.5206407729014574,0.5872698805994091
init_layout_random_geometric_graph__400_0_1___layered_layout,5,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,51.699999928474426,0.986520594391355,0.7022844488652914,0.07225274356710543,0.5022897913797333,8578.425116170612,21.42133086884303,49.70592941337365,18,0.9718538298154767,0.955350758972904,18,0.9367071935728969,0.9300549723365016,18,0.5265870893906753,0.5938653165577259
init_layout_random_geometric_graph__400_0_1___layered_layout,6,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,48.200000047683716,0.9866737066747485,0.6991788911159131,0.07269116202736259,0.5050151225075254,7921.114129804034,19.7661260392168,38.58981077770201,18,0.9738675492387713,0.9583940984536814,18,0.9344998734727573,0.9310196481770464,18,0.5303729548162405,0.6036265617760348
init_layout_random_geometric_graph__400_0_1___layered_layout,7,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,74.79999995231628,0.986969671140071,0.6980491684543828,0.07049265696429419,0.5045231689948289,7322.372724393852,18.257859565447188,34.539062045422675,18,0.9753968693557801,0.9607777698964393,18,0.9344821978146087,0.9324042417364165,18,0.5322427866377898,0.6089029105426883
init_layout_random_geometric_graph__400_0_1___layered_layout,8,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,82.10000002384186,0.987256164742503,0.695702680575019,0.07122628634818673,0.5045910036509215,6763.059202311544,16.857713365802198,29.533722010742082,18,0.976712704678903,0.9628050078025252,18,0.9365478239192168,0.9340732728046531,18,0.5353479940828911,0.6140473505901755
init_layout_random_geometric_graph__400_0_1___layered_layout,9,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,46.89999997615814,0.9875986942837028,0.6893252769970437,0.07248751191231306,0.5042703623005829,6234.907649156097,15.538294300360008,26.327378730994273,18,0.9777261734999654,0.9644215491559087,18,0.9380664122369613,0.9351503759398496,18,0.5390703453011266,0.6186641557609972
init_layout_random_geometric_graph__400_0_1___layered_layout,10,data/random_geometric_graph__400_0_1__.json,798,23.600000023841858,2.100000023841858,0.6999999284744263,0,107.30000007152557,45.39999997615814,0.9877849545872125,0.6867855888409887,0.07245325065519792,0.5035543858895803,5783.221140517905,14.408732370678461,24.404969172234527,18,0.9786815028311955,0.9659238899134629,18,0.9389171760020484,0.9368828911902397,18,0.5416459443280255,0.6232809609318191
